PLU,New Canopy SKU Description,Shelf Life,Fixed weight or Catch,Pieces/Case
61579,STK BURGER PTY,180,FixedWeight,120
155830,80/20 GRD BEEF PTY 8/1 10#,365,Fixed weight,80
157405,MAYS TERI BEEF PTY 4/1 10#,365,Fixed weight,40
157441,MAYS TERI BEEF PTY 4/1 8/4#,365,Fixed weight,8
157551,MAYS TERI BEEF PTY 4/1 8/5#,365,Fixed weight,8
157600,MAYS TERI BEEF PTY 6/1 10#,365,Fixed weight,60
158250,MAYS AU JUS PTY 3/1 10#,365,Fixed weight,30
158261,MAYS AU JUS PTY 4/1 LRG 10#,365,Fixed weight,40
158270,"MAYS AU JUS PTY 5/1 (4.75"" D) 10#",365,Fixed weight,50
157050,MAYS TERI BEEF PTY 4/1 8/2#,365,Fixed weight,8

