Number,Name,Labeling mode,Active,Description,Unit,Shelf life 1,Simple text 01,Simple text 02,Simple text 03,Static Text Param #,Tare Weight,Unit Price,Special price,Automatic Label Parameter,Code number 1,Code number 2,Code number 3,Code substring 1,Code substring 2,Code substring 3,Date Text Field 1,Date Text Field 2,Fixed weight,General number 01,General number 02,Text Field 1,Text Field 2,Text Field 3,Text Field 4,Text Field 5,Text Field 6,Text Field 7,Text Field 8,Text Field 9,Text Field 10,Label parameter set no.,Logo 1,Logo 2,Minimum weight,Maximum weight,Pieces per package,Weight class no.
20,Yevhen Recipe 20,FixedWeight,TRUE,changed by Billy 5/5/2025,lb,18,simple text 1,simple text2,st3,1122,0.08 lb,19.99 USD,17.99 USD,1,1,2,3,12345678901,codesubstr2,,Packed On:,Sell By:,1.7500 lb,1,2,"Con Hasta 8% De Solucion De Agua, Contiene 2% O Menos De Fosfatos De Sodio, Acetato
De Potasio, Lactato De Potasio, Y Sal, Para Mejorar Terneza Y Jugosidad.",BNLS CNTR CUT LOIN CHOPS ,Pork Loin Boneless Center Cut  Butterfly Chops,"^09;With Up To 9% Solution Of Water, Contains 2% Or 
Less Of Sodium Phosphates, Potassium Acetate, 
Potassium Lactate And Salt To Improve Tenderness
And Juiciness.",text5,text6,text7,text8,text9,text10,1,1,2,1.7500 lb,2.5000 lb,8,1
21,Yevhen Recipe 21,Weight,TRUE,changed by Tommy 5/5/2025,lb,19,simple text 1,simple text2,st3,1545,0.08 lb,7.89 USD,5.99 USD,1,3,2,1,12345678901,codesubstr2,,Packed On:,Sell By:,,1,2,"Con Hasta 8% De Solucion De Agua, Contiene 2% O Menos De Fosfatos De Sodio, Acetato
De Potasio, Lactato De Potasio, Y Sal, Para Mejorar Terneza Y Jugosidad.",Butter Chicken,Pork Loin Boneless Center Cut Butterfly Chops,text4,^Ac;^2;^b+Cook to a minimum internal temperature of 160 and let rest for 3 minutes.,text6,text7,text8,text9,text10,1,1,2,1.5500 lb,2.5000 lb,8,-1
22,Yevhen Recipe 22,FixedWeight,TRUE,changed by Billy 5/5/2025,lb,18,simple text 1,simple text2,st3,1122,0.08 lb,19.99 USD,17.99 USD,1,1,2,3,12345678901,codesubstr2,,Packed On:,Sell By:,1.7500 lb,1,2,"Con Hasta 8% De Solucion De Agua, Contiene 2% O Menos De Fosfatos De Sodio, Acetato
De Potasio, Lactato De Potasio, Y Sal, Para Mejorar Terneza Y Jugosidad.",BNLS CNTR CUT LOIN CHOPS ,Pork Loin Boneless Center Cut  Butterfly Chops,"^09;With Up To 9% Solution Of Water, Contains 2% Or 
Less Of Sodium Phosphates, Potassium Acetate, 
Potassium Lactate And Salt To Improve Tenderness
And Juiciness.",text5,text6,text7,text8,text9,text10,1,1,2,1.7500 lb,2.5000 lb,8,1
23,Yevhen Recipe 23,FixedWeight,TRUE,changed by Billy 5/5/2025,lb,18,simple text 1,simple text2,st3,1122,0.08 lb,19.99 USD,17.99 USD,1,1,2,3,12345678901,codesubstr2,,Packed On:,Sell By:,1.7500 lb,1,2,"Con Hasta 8% De Solucion De Agua, Contiene 2% O Menos De Fosfatos De Sodio, Acetato
De Potasio, Lactato De Potasio, Y Sal, Para Mejorar Terneza Y Jugosidad.",BNLS CNTR CUT LOIN CHOPS ,Pork Loin Boneless Center Cut  Butterfly Chops,"^09;With Up To 9% Solution Of Water, Contains 2% Or 
Less Of Sodium Phosphates, Potassium Acetate, 
Potassium Lactate And Salt To Improve Tenderness
And Juiciness.",text5,text6,text7,text8,text9,text10,1,1,2,1.7500 lb,2.5000 lb,8,1
24,Yevhen Recipe 24,FixedWeight,TRUE,changed by Billy 5/5/2025,lb,18,simple text 1,simple text2,st3,1122,0.08 lb,19.99 USD,17.99 USD,1,1,2,3,12345678901,codesubstr2,,Packed On:,Sell By:,1.7500 lb,1,2,"Con Hasta 8% De Solucion De Agua, Contiene 2% O Menos De Fosfatos De Sodio, Acetato
De Potasio, Lactato De Potasio, Y Sal, Para Mejorar Terneza Y Jugosidad.",BNLS CNTR CUT LOIN CHOPS ,Pork Loin Boneless Center Cut  Butterfly Chops,"^09;With Up To 9% Solution Of Water, Contains 2% Or 
Less Of Sodium Phosphates, Potassium Acetate, 
Potassium Lactate And Salt To Improve Tenderness
And Juiciness.",text5,text6,text7,text8,text9,text10,1,1,2,1.7500 lb,2.5000 lb,8,1
25,Yevhen Recipe 25,FixedWeight,TRUE,changed by Billy 5/5/2025,lb,18,simple text 1,simple text2,st3,1122,0.08 lb,19.99 USD,17.99 USD,1,1,2,3,12345678901,codesubstr2,,Packed On:,Sell By:,1.7500 lb,1,2,"Con Hasta 8% De Solucion De Agua, Contiene 2% O Menos De Fosfatos De Sodio, Acetato
De Potasio, Lactato De Potasio, Y Sal, Para Mejorar Terneza Y Jugosidad.",BNLS CNTR CUT LOIN CHOPS ,Pork Loin Boneless Center Cut  Butterfly Chops,"^09;With Up To 9% Solution Of Water, Contains 2% Or 
Less Of Sodium Phosphates, Potassium Acetate, 
Potassium Lactate And Salt To Improve Tenderness
And Juiciness.",text5,text6,text7,text8,text9,text10,1,1,2,1.7500 lb,2.5000 lb,8,1
26,Yevhen Recipe 26,FixedWeight,TRUE,changed by Billy 5/5/2025,lb,18,simple text 1,simple text2,st3,1122,0.08 lb,19.99 USD,17.99 USD,1,1,2,3,12345678901,codesubstr2,,Packed On:,Sell By:,1.7500 lb,1,2,"Con Hasta 8% De Solucion De Agua, Contiene 2% O Menos De Fosfatos De Sodio, Acetato
De Potasio, Lactato De Potasio, Y Sal, Para Mejorar Terneza Y Jugosidad.",BNLS CNTR CUT LOIN CHOPS ,Pork Loin Boneless Center Cut  Butterfly Chops,"^09;With Up To 9% Solution Of Water, Contains 2% Or 
Less Of Sodium Phosphates, Potassium Acetate, 
Potassium Lactate And Salt To Improve Tenderness
And Juiciness.",text5,text6,text7,text8,text9,text10,1,1,2,1.7500 lb,2.5000 lb,8,1
27,Yevhen Recipe 27,FixedWeight,TRUE,changed by Billy 5/5/2025,lb,18,simple text 1,simple text2,st3,1122,0.08 lb,19.99 USD,17.99 USD,1,1,2,3,12345678901,codesubstr2,,Packed On:,Sell By:,1.7500 lb,1,2,"Con Hasta 8% De Solucion De Agua, Contiene 2% O Menos De Fosfatos De Sodio, Acetato
De Potasio, Lactato De Potasio, Y Sal, Para Mejorar Terneza Y Jugosidad.",BNLS CNTR CUT LOIN CHOPS ,Pork Loin Boneless Center Cut  Butterfly Chops,"^09;With Up To 9% Solution Of Water, Contains 2% Or 
Less Of Sodium Phosphates, Potassium Acetate, 
Potassium Lactate And Salt To Improve Tenderness
And Juiciness.",text5,text6,text7,text8,text9,text10,1,1,2,1.7500 lb,2.5000 lb,8,1
28,Yevhen Recipe 28,FixedWeight,TRUE,changed by Billy 5/5/2025,lb,18,simple text 1,simple text2,st3,1122,0.08 lb,19.99 USD,17.99 USD,1,1,2,3,12345678901,codesubstr2,,Packed On:,Sell By:,1.7500 lb,1,2,"Con Hasta 8% De Solucion De Agua, Contiene 2% O Menos De Fosfatos De Sodio, Acetato
De Potasio, Lactato De Potasio, Y Sal, Para Mejorar Terneza Y Jugosidad.",BNLS CNTR CUT LOIN CHOPS ,Pork Loin Boneless Center Cut  Butterfly Chops,"^09;With Up To 9% Solution Of Water, Contains 2% Or 
Less Of Sodium Phosphates, Potassium Acetate, 
Potassium Lactate And Salt To Improve Tenderness
And Juiciness.",text5,text6,text7,text8,text9,text10,1,1,2,1.7500 lb,2.5000 lb,8,1
29,Yevhen Recipe 29,FixedWeight,TRUE,changed by Billy 5/5/2025,lb,18,simple text 1,simple text2,st3,1122,0.08 lb,19.99 USD,17.99 USD,1,1,2,3,12345678901,codesubstr2,,Packed On:,Sell By:,1.7500 lb,1,2,"Con Hasta 8% De Solucion De Agua, Contiene 2% O Menos De Fosfatos De Sodio, Acetato
De Potasio, Lactato De Potasio, Y Sal, Para Mejorar Terneza Y Jugosidad.",BNLS CNTR CUT LOIN CHOPS ,Pork Loin Boneless Center Cut  Butterfly Chops,"^09;With Up To 9% Solution Of Water, Contains 2% Or 
Less Of Sodium Phosphates, Potassium Acetate, 
Potassium Lactate And Salt To Improve Tenderness
And Juiciness.",text5,text6,text7,text8,text9,text10,1,1,2,1.7500 lb,2.5000 lb,8,1
