Number,Name,Labeling mode,Active,Description,Unit,Shelf life 1,Simple text 01,Simple text 02,Simple text 03,Static text parameter no.,Tare Weight,Unit Price,Special price,Automatic labeler parameter set no.,Code number 1,Code number 2,Code number 3,Code substring 1,Code substring 2,Code substring 3,Date text field no. 1,Date text field no. 2,Fixed weight,General number 01,General number 02,General text field no. 1,General text field no. 2,General text field no. 3,General text field no. 4,General text field no. 5,General text field no. 6,General text field no. 7,General text field no. 8,General text field no. 9,General text field no. 10,Label parameter set no.,Logo 1,Logo 2,Maximum weight,Minimum weight,Pieces per package,Weight class no.
11,My Article,Weight,True,,lb,17,string,string,string,0,0.0500 lb,7.77 USD,0.00 USD,0,999,999,999,string,string,string,string,string,1.5000 lb,0,0,string9,string,string,string,string,string,string,string,string,string,0,0,9999,2.5000 lb,1.5000 lb,0,0
13,thrteen,FixedWeight,False,trt,lb,15,,,,0,0.08 lb,9.99 USD,0.00 USD,0,0,0,0,,,,,,1.55 lb,0,0,125,126,,,,,,,,,0,0,0,2.50 lb,1.55 lb,0,0
14,fourt1,FixedWeight,True,1414,lb,15,,,,0,0.00 lb,5.85 USD,0.00 USD,0,0,0,0,,,,,,0.00 lb,0,0,1126,127,,,,,,,,,0,0,0,0.00 lb,0.00 lb,0,0
15,fifteen,FixedWeight,True,1515,lb,2,,,,0,0.00 lb,1.23 USD,0.00 USD,0,0,0,0,,,,,,0.00 lb,0,0,,,,,,,,,,,0,0,0,0.00 lb,0.00 lb,0,0
16,16,FixedWeight,True,16,lb,15,,,,0,0.08 lb,0.00 USD,0.00 USD,0,0,0,0,,,,,,1.23 lb,0,0,,,,,,,,,,,0,0,0,2.23 lb,1.23 lb,0,0
17,Yevhen Recipe,FixedWeight,True,,lb,18,simple text 1,simple text2,st3,0,0.0800 lb,9.99 USD,0.00 USD,0,1,2,0,12345678901,codesubstr2,,Packed On:,Sell By:,1.7500 lb,0,0,"^1;Con Hasta 8% De Solucion De Agua, Contiene 2% O Menos De Fosfatos De Sodio, Acetato
De Potasio, Lactato De Potasio, Y Sal, Para Mejorar Terneza Y Jugosidad.","^Ac;^b+BNLS CNTR CUT
^Ac; LOIN CHOPS ","^Ac;^114; Pork Loin Boneless Center Cut
 ^Ac; Butterfly Chops",,,,,,,,0,0,0,2.5000 lb,1.7500 lb,0,0
18,Butter Chicken,FixedWeight,True,,lb,0,,,,0,0.00 lb,0.00 USD,0.00 USD,0,0,0,0,67053494909,,,,,1.75 lb,0,0,"^1;Con Hasta 8% De Solucion De Agua, Contiene 2% O Menos De Fosfatos De Sodio, Acetato
De Potasio, Lactato De Potasio, Y Sal, Para Mejorar Terneza Y Jugosidad.",string9,"^Ac;^114; Pork Loin Boneless Center Cut
 ^Ac; Butterfly Chops",,,,,,,,0,0,0,0.00 lb,0.00 lb,0,0
67053494905,KarthikRecipe,Weight,True,,lb,18,simple text 1,simple text2,st3,11234,0.0000 lb,9.99 USD,0.00 USD,0,1,2,0,12345678901,codesubstr2,,,,1.7500 lb,0,0,"^1;Con Hasta 8% De Solucion De Agua, Contiene 2% O Menos De Fosfatos De Sodio, Acetato
De Potasio, Lactato De Potasio, Y Sal, Para Mejorar Terneza Y Jugosidad.","^Ac;^b+BNLS CNTR CUT
^Ac; LOIN CHOPS ","^Ac;^114; Pork Loin Boneless Center Cut
 ^Ac; Butterfly Chops",text field 4,^Ac;^b+CHOPPED SUEY,,,,,replaced text10,0,0,0,0.0000 lb,0.0000 lb,0,0
67053494909,Butter Chicken,FixedWeight,True,,lb,0,,,,670534949,0.00 lb,0.00 USD,0.00 USD,0,0,0,0,67053494909,,,,,1.75 lb,0,0,"^1;Con Hasta 8% De Solucion De Agua, Contiene 2% O Menos De Fosfatos De Sodio, Acetato
De Potasio, Lactato De Potasio, Y Sal, Para Mejorar Terneza Y Jugosidad.",string9,"^Ac;^114; Pork Loin Boneless Center Cut
 ^Ac; Butterfly Chops",^39;LOIN COUNTRY STYLE RIBS,^Ac;^b+CHOPPED SUEY,,,,,,0,0,0,0.00 lb,0.00 lb,0,0
67053494910,KarthikRecipe,FixedWeight,True,,lb,0,,,,12367891,0.00 lb,0.00 USD,0.00 USD,0,0,0,0,12345678901,,,,,1.75 lb,0,0,"=$%$ GLCE STORE GL6A ="""" GLD0 STORE GL6B ="""" R""*"" GT65 W""###"" GT61 ="""" ","=$%$ GLCF STORE GL6A ="""" GLD1 STORE GL6B ="""" R""*"" GT66 W""###"" GT61 ="""" ",^4;EST.18079,^b+^2;Product of USA,^04;Product of Chile,,,,,,0,0,0,0.00 lb,0.00 lb,0,0
